,x,y,theta,speed
9803,340.67900000000003,1596.26,0.0,30
9804,341.088,1595.47,0.0,30
9805,341.293,1595.08,0.0,30
9806,341.49800000000005,1594.69,0.0,30
9807,341.70300000000003,1594.3,0.0,30
9808,342.11300000000006,1593.51,0.0,30
9809,342.31800000000004,1593.12,0.0,30
9810,342.523,1592.73,0.0,30
9811,342.93300000000005,1591.94,0.0,30
9812,343.13800000000003,1591.55,0.0,30
9813,343.343,1591.16,0.0,30
9814,343.548,1590.77,0.0,30
9815,343.958,1589.98,0.0,30
9816,344.163,1589.59,0.0,30
9817,344.36800000000005,1589.2,0.0,30
9818,344.57300000000004,1588.81,0.0,30
9819,344.983,1588.03,0.0,30
9820,345.189,1587.64,0.0,30
9821,345.395,1587.25,0.0,30
9822,345.80699999999996,1586.46,0.0,30
9823,346.01300000000003,1586.07,0.0,30
9824,346.425,1585.29,0.0,30
9825,346.631,1584.9,0.0,30
9826,346.837,1584.51,0.0,30
9827,347.24800000000005,1583.73,0.0,30
9828,347.455,1583.34,0.0,30
9829,347.661,1582.95,0.0,30
9830,347.86800000000005,1582.56,0.0,30
9831,348.282,1581.77,0.0,30
9832,348.48900000000003,1581.38,0.0,30
9833,348.695,1580.99,0.0,30
9834,348.903,1580.6,0.0,30
9835,349.31699999999995,1579.82,0.0,30
9836,349.525,1579.43,0.0,30
9837,349.73199999999997,1579.04,0.0,30
9838,350.147,1578.26,0.0,30
9839,350.355,1577.87,0.0,30
9840,350.56300000000005,1577.48,0.0,30
9841,350.77,1577.09,0.0,30
9842,351.186,1576.31,0.0,30
9843,351.394,1575.92,0.0,30
9844,351.602,1575.53,0.0,30
9845,352.017,1574.75,0.0,30
9846,352.226,1574.36,0.0,30
9847,352.434,1573.97,0.0,30
9848,352.64300000000003,1573.58,0.0,30
9849,353.059,1572.8,0.0,30
9850,353.26599999999996,1572.41,0.0,30
9851,353.475,1572.02,0.0,30
9852,353.892,1571.24,0.0,30
9853,354.30800000000005,1570.46,0.0,30
9854,354.51599999999996,1570.07,0.0,30
9855,354.725,1569.68,0.0,30
9856,355.142,1568.9,0.0,30
9857,355.349,1568.51,0.0,30
